file_url,platform_link,Handelsadato,ISIN,Verdipapirnavn,Antall,Kurs,Handelsbeløp,Kilder
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-86.jpeg?expires=1696629224&or=0&s=abbb2befe0a73e6d1737b50b8c9e289a,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b62ed-6469-11ee-8266-129b4cad2a96,30.09.2013,NO0010379266,BLUENORD,100,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-97.jpeg?expires=1696629224&or=0&s=2d264ca276dd62a203d03ded4ec86879,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b632e-6469-11ee-8271-129b4cad2a96,30.09.2013,NO0010582521,GJENSIDIGE FORSIKR,600,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-8.jpeg?expires=1696629224&or=0&s=934bfb862b0c7f41383954ff1117be47,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b601c-6469-11ee-8218-129b4cad2a96,30.09.2013,BMG4758V1000,Independent Tank,1,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-18.jpeg?expires=1696629224&or=0&s=e63b2bc0877eca85ae73e803b7f22c7e,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60b6-6469-11ee-8222-129b4cad2a96,30.09.2013,NO0003033102,KONGSBERG AUTOMOT,38600,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-19.jpeg?expires=1696629224&or=0&s=91ccc267b4d6a0bd0904cd58f22af287,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60bb-6469-11ee-8223-129b4cad2a96,30.09.2013,NO0003043309,KONGSBERG GRUPPEN,100,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-25.jpeg?expires=1696629224&or=0&s=f73a2f71402551f10a08bc14c7c49550,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60d9-6469-11ee-8229-129b4cad2a96,30.09.2013,NO0003054108,MOWI,1565,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-20.jpeg?expires=1696629224&or=0&s=39af571bdd2b86b1797ec662ddc04429,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60c1-6469-11ee-8224-129b4cad2a96,30.09.2013,NO0003049405,NEKKAR,7300,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-83.jpeg?expires=1696629224&or=0&s=d73f20a969e756f97212ff6e8f90961b,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b62df-6469-11ee-8263-129b4cad2a96,30.09.2013,NO0010317340,NORDIC MINING,33000,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-54.jpeg?expires=1696629224&or=0&s=0ad341172459195f4e4c110a8878153e,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b61c4-6469-11ee-8246-129b4cad2a96,30.09.2013,NO0005052605,NORSK HYDRO,1 650,,0,Euronext
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-54.jpeg?expires=1696629224&or=0&s=0ad341172459195f4e4c110a8878153e,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b61c4-6469-11ee-8246-129b4cad2a96,30.09.2013,NO0005052605,NORSK HYDRO,10,,0,Euronext
